Date,Country,Infections,Recovered,Deaths
26-Jan,Netherlands,0,0,0
27-Jan,Netherlands,0,0,0
28-Jan,Netherlands,0,0,0
29-Jan,Netherlands,0,0,0
30-Jan,Netherlands,0,0,0
31-Jan,Netherlands,0,0,0
1-Feb,Netherlands,0,0,0
2-Feb,Netherlands,0,0,0
3-Feb,Netherlands,0,0,0
4-Feb,Netherlands,0,0,0
5-Feb,Netherlands,0,0,0
6-Feb,Netherlands,0,0,0
7-Feb,Netherlands,0,0,0
8-Feb,Netherlands,0,0,0
9-Feb,Netherlands,0,0,0
10-Feb,Netherlands,0,0,0
11-Feb,Netherlands,0,0,0
12-Feb,Netherlands,0,0,0
13-Feb,Netherlands,0,0,0
14-Feb,Netherlands,0,0,0
15-Feb,Netherlands,0,0,0
16-Feb,Netherlands,0,0,0
17-Feb,Netherlands,0,0,0
18-Feb,Netherlands,0,0,0
19-Feb,Netherlands,0,0,0
20-Feb,Netherlands,0,0,0
21-Feb,Netherlands,0,0,0
22-Feb,Netherlands,0,0,0
23-Feb,Netherlands,0,0,0
24-Feb,Netherlands,0,0,0
25-Feb,Netherlands,0,0,0
26-Feb,Netherlands,0,0,0
27-Feb,Netherlands,1,0,0
28-Feb,Netherlands,1,0,0
29-Feb,Netherlands,6,0,0
1-Mar,Netherlands,10,0,0
2-Mar,Netherlands,18,0,0
3-Mar,Netherlands,24,0,0
4-Mar,Netherlands,38,0,0
5-Mar,Netherlands,82,0,0
6-Mar,Netherlands,128,0,1
7-Mar,Netherlands,188,0,1
8-Mar,Netherlands,265,0,3
9-Mar,Netherlands,321,0,3
10-Mar,Netherlands,382,0,4
11-Mar,Netherlands,503,0,5
12-Mar,Netherlands,503,0,5
13-Mar,Netherlands,806,0,10
14-Mar,Netherlands,962,2,12
15-Mar,Netherlands,1138,2,20
16-Mar,Netherlands,1416,2,24
17-Mar,Netherlands,1711,2,43
18-Mar,Netherlands,2058,2,58
19-Mar,Netherlands,2467,2,77
20-Mar,Netherlands,3003,2,107
21-Mar,Netherlands,3640,2,137
22-Mar,Netherlands,4217,2,180
23-Mar,Netherlands,4764,2,214
24-Mar,Netherlands,5580,3,277
25-Mar,Netherlands,6438,4,357
22-Jan,Total,555,28,17
23-Jan,Total,654,30,18
24-Jan,Total,941,36,26
25-Jan,Total,1434,39,42
26-Jan,Total,2118,52,56
27-Jan,Total,2927,61,82
28-Jan,Total,5578,107,131
29-Jan,Total,6166,126,133
30-Jan,Total,8234,143,171
31-Jan,Total,9927,222,213
1-Feb,Total,12038,284,259
2-Feb,Total,16787,472,362
3-Feb,Total,19881,623,426
4-Feb,Total,23892,852,492
5-Feb,Total,27635,1124,564
6-Feb,Total,30794,1487,634
7-Feb,Total,34391,2011,719
8-Feb,Total,37120,2616,806
9-Feb,Total,40150,3244,906
10-Feb,Total,42762,3946,1013
11-Feb,Total,44802,4683,1113
12-Feb,Total,45221,5150,1118
13-Feb,Total,60368,6295,1371
14-Feb,Total,66885,8058,1523
15-Feb,Total,69030,9395,1666
16-Feb,Total,71224,10865,1770
17-Feb,Total,73258,12583,1868
18-Feb,Total,75136,14352,2007
19-Feb,Total,75639,16121,2122
20-Feb,Total,76197,18177,2247
21-Feb,Total,76819,18890,2251
